file_id,ContainerIdentifier,SeriesInstanceUID,series_aws_url
GTEX-1QP29-1026,GTEX-1QP29-1025,1.3.6.1.4.1.5962.99.1.2283889368.2091941778.1720270840536.4.0,s3://idc-open-data/79344620-730e-4862-8319-3e675fcd8caa/*
GTEX-ZEX8-0526,GTEX-ZEX8-0525,1.3.6.1.4.1.5962.99.1.2346214669.1165335345.1720333165837.4.0,s3://idc-open-data/4c79ff9a-3d0c-47cd-8589-6b506a8072b2/*
GTEX-1JN6P-0626,GTEX-1JN6P-0625,1.3.6.1.4.1.5962.99.1.2210949445.65717900.1720197900613.4.0,s3://idc-open-data/b077df00-5ba2-4545-b151-08621104cd09/*
GTEX-1M4P7-1626,GTEX-1M4P7-1625,1.3.6.1.4.1.5962.99.1.1991569197.1165965319.1719978520365.4.0,s3://idc-open-data/523f76a4-4cd1-4108-8920-eabe716e93a7/*
GTEX-15SDE-2426,GTEX-15SDE-2425,1.3.6.1.4.1.5962.99.1.2149055832.1779932390.1720136007000.4.0,s3://idc-open-data/4edde6f5-4787-4a59-b970-32cab5334770/*
GTEX-ZTSS-0826,GTEX-ZTSS-0825,1.3.6.1.4.1.5962.99.1.1995300979.1679106674.1719982252147.4.0,s3://idc-open-data/ae54aacb-181b-4583-b7be-54c2bf9765ec/*
GTEX-1PFEY-1226,GTEX-1PFEY-1225,1.3.6.1.4.1.5962.99.1.2128580936.246525587.1720115532104.4.0,s3://idc-open-data/ac621dda-d9e0-4152-a3b2-b61368cf7205/*
GTEX-NL3H-0626,GTEX-NL3H-0625,1.3.6.1.4.1.5962.99.1.2346779418.1641780075.1720333730586.4.0,s3://idc-open-data/6293442b-f07d-4c48-a640-cfa49682c5d5/*
GTEX-1HC8U-0626,GTEX-1HC8U-0625,1.3.6.1.4.1.5962.99.1.2166396386.235312877.1720153347554.4.0,s3://idc-open-data/502a41e3-6943-4f5b-bec7-b78cc208923a/*
GTEX-1PPH8-1026,GTEX-1PPH8-1025,1.3.6.1.4.1.5962.99.1.2388797769.575738953.1720375748937.4.0,s3://idc-open-data/90ed4dfb-dfc6-4155-9eaf-cdfee9746681/*
GTEX-1CB4J-0126,GTEX-1CB4J-0125,1.3.6.1.4.1.5962.99.1.2406777455.1828501641.1720393728623.4.0,s3://idc-open-data/18977fb6-6d48-4c08-b0c3-e24a9eac0ab5/*
